Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
LBXSGB	Globulin (g/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSGL	Glucose, refrigerated serum (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSGTSI	Gamma Glutamyl Transferase (GGT) (U/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSIR	Iron, refrigerated serum (ug/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSKSI	Potassium (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSLDSI	Lactate Dehydrogenase (LDH) (U/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSNASI	Sodium (mmol/L)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSOSSI	Osmolality (mmol/Kg)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSPH	Phosphorus (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSTB	Total Bilirubin (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSTP	Total Protein (g/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSTR	Triglycerides, refrig serum (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBXSUA	Uric acid (mg/dL)	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
SEQN	Respondent sequence number.	BIOPRO_I	Standard Biochemistry Profile	2015	2016	Laboratory	None
LBDHDD	Direct HDL-Cholesterol (mg/dL)	HDL_I	Cholesterol - High-Density Lipoprotein (HDL)	2015	2016	Laboratory	None
LBDHDDSI	Direct HDL-Cholesterol (mmol/L)	HDL_I	Cholesterol - High-Density Lipoprotein (HDL)	2015	2016	Laboratory	None
