Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear	Component	Use Constraints
SEQN	Respondent sequence number.	HPVSWR_I	Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array	2015	2016	Laboratory	None
LBDR06	HPV type 6	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR11	HPV type 11	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR16	HPV type 16	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR18	HPV type 18	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR26	HPV type 26	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR31	HPV type 31	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR33	HPV type 33	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR35	HPV type 35	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR39	HPV type 39	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR40	HPV type 40	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR42	HPV type 42	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR45	HPV type 45	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
LBDR51	HPV type 51	HPVP_I	Human Papillomavirus (HPV) DNA - Penile Swabs: Roche Linear Array	2015	2016	Laboratory	None
